subject_type,page,source_url,raw_file_path,status,notes
历史类,59,https://plan.sceea.cn/img/ls/tu/ls%20(59).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_059.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,60,https://plan.sceea.cn/img/ls/tu/ls%20(60).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_060.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,61,https://plan.sceea.cn/img/ls/tu/ls%20(61).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_061.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,62,https://plan.sceea.cn/img/ls/tu/ls%20(62).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_062.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,63,https://plan.sceea.cn/img/ls/tu/ls%20(63).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_063.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,64,https://plan.sceea.cn/img/ls/tu/ls%20(64).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_064.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,65,https://plan.sceea.cn/img/ls/tu/ls%20(65).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_065.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,66,https://plan.sceea.cn/img/ls/tu/ls%20(66).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_066.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,67,https://plan.sceea.cn/img/ls/tu/ls%20(67).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_067.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,68,https://plan.sceea.cn/img/ls/tu/ls%20(68).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_068.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,69,https://plan.sceea.cn/img/ls/tu/ls%20(69).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_069.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,70,https://plan.sceea.cn/img/ls/tu/ls%20(70).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_070.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,71,https://plan.sceea.cn/img/ls/tu/ls%20(71).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_071.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,72,https://plan.sceea.cn/img/ls/tu/ls%20(72).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_072.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,73,https://plan.sceea.cn/img/ls/tu/ls%20(73).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_073.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,74,https://plan.sceea.cn/img/ls/tu/ls%20(74).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_074.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,75,https://plan.sceea.cn/img/ls/tu/ls%20(75).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_075.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,76,https://plan.sceea.cn/img/ls/tu/ls%20(76).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_076.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,77,https://plan.sceea.cn/img/ls/tu/ls%20(77).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_077.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,78,https://plan.sceea.cn/img/ls/tu/ls%20(78).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_078.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
