id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2023-物理-13774-204-2466,2023,广东,物理,普通类本科批次,13774,豫章师范学院,204,,,495,148905,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13776-202-2467,2023,广东,物理,普通类本科批次,13776,江西软件职业技术大学,202,,,483,168062,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13776-203-2468,2023,广东,物理,普通类本科批次,13776,江西软件职业技术大学,203,,,474,181020,1,投档人数:1,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13809-203-2469,2023,广东,物理,普通类本科批次,13809,湖南应用技术学院,203,,,484,166250,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13811-203-2470,2023,广东,物理,普通类本科批次,13811,琼台师范学院,203,,,506,133619,10,投档人数:10,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13811-204-2471,2023,广东,物理,普通类本科批次,13811,琼台师范学院,204,,,509,129033,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13816-202-2472,2023,广东,物理,普通类本科批次,13816,四川工业科技学院,202,,,489,158592,5,投档人数:5,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13830-202-2473,2023,广东,物理,普通类本科批次,13830,广西外国语学院,202,,,479,173929,20,投档人数:20,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13842-201-2474,2023,广东,物理,普通类本科批次,13842,南京理工大学泰州科技学院,201,,,487,160759,50,投档人数:50,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13844-205-2475,2023,广东,物理,普通类本科批次,13844,东莞城市学院,205,,,464,197053,2375,投档人数:2375,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13844-207-2476,2023,广东,物理,普通类本科批次,13844,东莞城市学院,207,,,469,189152,100,投档人数:100,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13892-205-2477,2023,广东,物理,普通类本科批次,13892,三亚学院,205,,,471,185850,29,投档人数:29,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13892-206-2478,2023,广东,物理,普通类本科批次,13892,三亚学院,206,,,483,166932,2,投档人数:2,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13892-211-2479,2023,广东,物理,普通类本科批次,13892,三亚学院(中外合作办学),211,,,476,178198,1,投档人数:1,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13892-213-2480,2023,广东,物理,普通类本科批次,13892,三亚学院,213,,,485,164716,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13893-202-2481,2023,广东,物理,普通类本科批次,13893,上海师范大学天华学院,202,,,479,174139,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13894-202-2482,2023,广东,物理,普通类本科批次,13894,西安明德理工学院,202,,,480,172111,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13897-202-2483,2023,广东,物理,普通类本科批次,13897,天津理工大学中环信息学院,202,,,486,163463,17,投档人数:17,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
